FIPS,Outflows,County Name,State FIPS Code,State Name
06037,245959,LOS ANGELES,06,CALIFORNIA
17031,171269,COOK,17,ILLINOIS
48201,121938,HARRIS,48,TEXAS
06073,114115,SAN DIEGO,06,CALIFORNIA
06059,112946,ORANGE,06,CALIFORNIA
48113,110875,DALLAS,48,TEXAS
36081,96762,QUEENS,36,NEW YORK
36047,94744,KINGS,36,NEW YORK
36061,89059,NEW YORK,36,NEW YORK
04013,87481,MARICOPA,04,ARIZONA
06001,79633,ALAMEDA,06,CALIFORNIA
06085,75722,SANTA CLARA,06,CALIFORNIA
12011,74307,BROWARD,12,FLORIDA
51059,73835,FAIRFAX,51,VIRGINIA
53033,71390,KING,53,WASHINGTON
06071,71143,SAN BERNARDINO,06,CALIFORNIA
12086,69567,MIAMI-DADE,12,FLORIDA
25017,68277,MIDDLESEX,25,MASSACHUSETTS
13121,64087,FULTON,13,GEORGIA
48439,63415,TARRANT,48,TEXAS
06065,61755,RIVERSIDE,06,CALIFORNIA
17043,57075,DU PAGE,17,ILLINOIS
27053,56197,HENNEPIN,27,MINNESOTA
13089,55452,DE KALB,13,GEORGIA
12095,55405,ORANGE,12,FLORIDA
36005,55391,BRONX,36,NEW YORK
26163,54844,WAYNE,26,MICHIGAN
26125,48180,OAKLAND,26,MICHIGAN
25025,48097,SUFFOLK,25,MASSACHUSETTS
06075,47614,SAN FRANCISCO,06,CALIFORNIA
08031,47032,DENVER,08,COLORADO
32003,46590,CLARK,32,NEVADA
06067,46574,SACRAMENTO,06,CALIFORNIA
24031,46499,MONTGOMERY,24,MARYLAND
36059,45747,NASSAU,36,NEW YORK
29189,45480,ST LOUIS,29,MISSOURI
39049,45145,FRANKLIN,39,OHIO
48029,44936,BEXAR,48,TEXAS
48453,44786,TRAVIS,48,TEXAS
24033,44736,PRINCE GEORGE'S,24,MARYLAND
12057,43851,HILLSBOROUGH,12,FLORIDA
06013,43457,CONTRA COSTA,06,CALIFORNIA
13067,43235,COBB,13,GEORGIA
06081,40933,SAN MATEO,06,CALIFORNIA
12099,39201,PALM BEACH,12,FLORIDA
18097,38941,MARION,18,INDIANA
08005,38581,ARAPAHOE,08,COLORADO
41051,38139,MULTNOMAH,41,OREGON
36103,37047,SUFFOLK,36,NEW YORK
13135,36778,GWINNETT,13,GEORGIA
34023,36682,MIDDLESEX,34,NEW JERSEY
12031,36364,DUVAL,12,FLORIDA
39035,35739,CUYAHOGA,39,OHIO
24005,34677,BALTIMORE,24,MARYLAND
34017,34595,HUDSON,34,NEW JERSEY
11001,34011,"WASHINGTON, DC",11,DISTRICT OF COLUMBIA
34003,33756,BERGEN,34,NEW JERSEY
48085,33545,COLLIN,48,TEXAS
37119,33499,MECKLENBURG,37,NORTH CAROLINA
12103,33432,PINELLAS,12,FLORIDA
49035,33287,SALT LAKE,49,UTAH
36119,33284,WESTCHESTER,36,NEW YORK
34013,32242,ESSEX,34,NEW JERSEY
25021,32085,NORFOLK,25,MASSACHUSETTS
08059,31878,JEFFERSON,08,COLORADO
15003,31721,HONOLULU,15,HAWAII
53053,31410,PIERCE,53,WASHINGTON
27123,31403,RAMSEY,27,MINNESOTA
39061,30309,HAMILTON,39,OHIO
55079,29603,MILWAUKEE,55,WISCONSIN
47037,29404,DAVIDSON,47,TENNESSEE
48121,28696,DENTON,48,TEXAS
09001,28447,FAIRFIELD,09,CONNECTICUT
40109,27590,OKLAHOMA,40,OKLAHOMA
37183,27588,WAKE,37,NORTH CAROLINA
47157,27514,SHELBY,47,TENNESSEE
51810,27432,VIRGINIA BEACH,51,VIRGINIA
53061,26933,SNOHOMISH,53,WASHINGTON
06111,26879,VENTURA,06,CALIFORNIA
24510,26854,BALTIMORE CITY,24,MARYLAND
17097,26239,LAKE,17,ILLINOIS
08001,25910,ADAMS,08,COLORADO
51153,25721,PRINCE WILLIAM,51,VIRGINIA
12117,25678,SEMINOLE,12,FLORIDA
25009,25212,ESSEX,25,MASSACHUSETTS
08041,25020,EL PASO,08,COLORADO
29095,25008,JACKSON,29,MISSOURI
